"Date","Day","Start","End","Title","Kind","Prong","Catalog class","Price","Seats","Full gross","Status","Scenario note","Notes"
"Tue Nov 17","Tue","6:00 PM","8:30 PM","Cosplay Build Night","Club","Members","","","","","Planned","Wed–Sun: volunteer host","3rd Tuesday"
"Wed Nov 18","Wed","10:00 AM","12:00 PM","Homeschool STEAM Lab · wk 3: CAD & 3D printing","Class","Classes","Homeschool STEAM Lab","$50","8","$400","Planned","",""
"Wed Nov 18","Wed","1:00 PM","5:00 PM","Open shop","Open shop","Members","","","","","Planned","",""
"Wed Nov 18","Wed","5:00 PM","7:00 PM","DB Business After-Hours — offer to host it here; corporate pitch w/ sample piece","Area event","","","","","","Planned","",""
"Wed Nov 18","Wed","6:30 PM","8:30 PM","Community Make Night","Club","Members","Community Make Night","$10","15","$150","Planned","",""
"Thu Nov 19","Thu","11:00 AM","1:00 PM","Winter Market flyer table (volunteer)","Area event","","","","","","Planned","",""
"Fri Nov 20","Fri","10:00 AM","1:00 PM","Sew a Large Stocking (daytime)","Class","Classes","Sew a Large Stocking","$65","8","$520","Planned","",""
"Fri Nov 20","Fri","1:00 PM","5:00 PM","Open shop","Open shop","Members","","","","","Planned","",""
"Fri Nov 20","Fri","6:00 PM","8:00 PM","Stained Glass Ornaments","Class","Classes","Stained Glass Ornaments","$60","8","$480","Planned","",""
"Sat Nov 21","Sat","10:00 AM","12:30 PM","Stained Glass Scene · day 2 of 2 (solder)","Class","Classes","","","","","Planned","Mon–Fri: Mon Nov 23 6–9","Day 2 — seats counted on day 1"
"Sat Nov 21","Sat","2:00 PM","5:00 PM","Cutting Board A · day 2 of 2 (finish)","Class","Classes","","","","","Planned","Mon–Fri: Mon Dec 7 6–9","Day 2 — seats counted on day 1"
"Tue Nov 24","Tue","6:00 PM","8:30 PM","Queer Craft Night","Club","Members","","","","","Planned","Wed–Sun: volunteer host","4th Tuesday"
"Wed Nov 25","Wed","1:00 PM","5:00 PM","Open shop","Open shop","Members","","","","","Planned","","No STEAM Lab — HPS conference day / Thanksgiving week"
"Wed Nov 25","Wed","6:00 PM","8:30 PM","Community Make Night","Club","Members","Community Make Night","$10","15","$150","Planned","",""
"Thu Nov 26","Thu","","","Thanksgiving — closed","Closed","","","","","","Planned","",""
"Fri Nov 27","Fri","","","Closed · Black Friday gift-certificate email","Closed","","","","","","Planned","",""
"Sat Nov 28","Sat","11:00 AM","4:00 PM","Mimosa Walk & Shop Local · Small Business Saturday · Santa photos @ Tin Room (2025 pattern)","Area event","","","","","","Planned","",""
"Sat Nov 28","Sat","11:00 AM","4:00 PM","Gift-certificate table + engraving dress rehearsal (no class)","Event day","Classes","","","","","Planned","",""
"Tue Dec 1","Tue","6:00 PM","8:30 PM","Nerd Night","Club","Members","","","","","Planned","Wed–Sun: volunteer host","Dec 1 gift-certificate push"
"Wed Dec 2","Wed","10:00 AM","12:00 PM","Homeschool STEAM Lab · wk 4: sewing machines","Class","Classes","Homeschool STEAM Lab","$50","8","$400","Planned","",""
"Wed Dec 2","Wed","1:00 PM","5:00 PM","Open shop","Open shop","Members","","","","","Planned","",""
"Wed Dec 2","Wed","6:00 PM","8:30 PM","Make Night: design your cookie cutter","Club","Members","Make Night: Design Your Cookie Cutter","$10","12","$120","Planned","","Printed Dec 3–4; pickup at Cookie Crawl"
"Thu Dec 3","Thu","11:00 AM","1:00 PM","Winter Market flyer table (volunteer) · print cookie cutters overnight","Area event","","","","","","Planned","",""
"Fri Dec 4","Fri","1:00 PM","5:00 PM","Open shop","Open shop","Members","","","","","Planned","",""
"Fri Dec 4","Fri","1:00 PM","4:00 PM","Corporate hold · holiday team build, up to 12","Corporate hold","Corporate","Corporate Team Build","$1,000","1","$1,000","Planned","",""
"Fri Dec 4","Fri","6:00 PM","9:00 PM","Cutting Board B · day 1 of 2 (glue-up)","Class","Classes","Cutting Board (2-day)","$95","4","$380","Planned","","Hanukkah begins at sundown; UCU preview at Seattle Center"
"Sat Dec 5","Sat","12:00 PM","4:00 PM","Holiday Cookie Crawl — check-in at our door; cookie-cutter pickup","Area event","","","","","","Planned","","Also: Moshier Pottery Sale 10–3; WS Hometown Holidays, Des Moines & Normandy Park tree lightings (evening)"
"Tue Dec 8","Tue","6:00 PM","8:30 PM","Junk Journaling · holiday cards & tags","Club","Members","","","","","Planned","Wed–Sun: volunteer host",""
"Wed Dec 9","Wed","","","DB Members Holiday Party — bring engraved ornaments; no Make Night","Area event","","","","","","Planned","",""
"Wed Dec 9","Wed","10:00 AM","12:00 PM","Homeschool STEAM Lab · wk 5: circuits & LED soldering","Class","Classes","Homeschool STEAM Lab","$50","8","$400","Planned","",""
"Wed Dec 9","Wed","1:00 PM","5:00 PM","Open shop","Open shop","Members","","","","","Planned","",""
"Thu Dec 10","Thu","10:00 AM","4:00 PM","Winter Market","Area event","","","","","","Planned","",""
"Fri Dec 11","Fri","10:00 AM","12:00 PM","Stained Glass Ornaments (daytime)","Class","Classes","Stained Glass Ornaments","$60","8","$480","Planned","",""
"Fri Dec 11","Fri","1:00 PM","5:00 PM","Open shop","Open shop","Members","","","","","Planned","",""
"Fri Dec 11","Fri","1:00 PM","4:00 PM","Corporate hold · holiday team build, up to 12","Corporate hold","Corporate","Corporate Team Build","$1,000","1","$1,000","Planned","",""
"Fri Dec 11","Fri","6:00 PM","9:00 PM","Cutting Board B · day 2 of 2 (finish)","Class","Classes","","","","","Planned","","Day 2 — seats counted on day 1"
"Sat Dec 12","Sat","10:00 AM","12:00 PM","Stained Glass Ornaments","Class","Classes","Stained Glass Ornaments","$60","8","$480","Planned","Mon–Fri: Mon Dec 14 6–8",""
"Sat Dec 12","Sat","2:00 PM","5:00 PM","Sew a Large Stocking","Class","Classes","Sew a Large Stocking","$65","8","$520","Planned","Mon–Fri: Fri Dec 18 2–5 · Wed–Sun: Sun Dec 13 1–4",""
"Sun Dec 13","Sun","4:30 PM","","Highline Heritage Museum menorah lighting (2025 pattern); La Posada Sat Dec 12","Area event","","","","","","Planned","",""
"Tue Dec 15","Tue","6:00 PM","8:30 PM","Cosplay Build Night","Club","Members","","","","","Planned","Wed–Sun: volunteer host",""
"Wed Dec 16","Wed","10:00 AM","12:00 PM","Homeschool STEAM Lab · wk 6: capstone gift build","Class","Classes","Homeschool STEAM Lab","$50","8","$400","Planned","",""
"Wed Dec 16","Wed","1:00 PM","5:00 PM","Open shop","Open shop","Members","","","","","Planned","",""
"Wed Dec 16","Wed","1:00 PM","4:00 PM","Corporate hold · holiday team build, up to 12","Corporate hold","Corporate","Corporate Team Build","$1,000","1","$1,000","Planned","",""
"Wed Dec 16","Wed","6:00 PM","8:30 PM","Make Night: gift wrap & finish-your-project","Club","Members","Community Make Night","$10","15","$150","Planned","",""
"Thu Dec 17","Thu","11:00 AM","1:00 PM","Winter Market flyer table (volunteer)","Area event","","","","","","Planned","",""
"Fri Dec 18","Fri","10:00 AM","12:00 PM","Sewing Basics: Bowl Cozy (daytime)","Class","Classes","Sewing Basics: Bowl Cozy","$45","8","$360","Planned","",""
"Fri Dec 18","Fri","1:00 PM","5:00 PM","Open shop","Open shop","Members","","","","","Planned","",""
"Fri Dec 18","Fri","6:00 PM","8:30 PM","Last-Minute Gifts: laser ornament & gift-tag night","Class","Classes","Last-Minute Gifts Laser Night","$35","10","$350","Planned","",""
"Sat Dec 19","Sat","10:00 AM","1:00 PM","Kids' ornament & gift-tag drop-in","Class","Classes","Kids' Ornament & Gift-Tag Drop-in","$20","20","$400","Planned","Mon–Fri: cut","Last gift-ready class day"
"Sat Dec 19","Sat","2:00 PM","4:00 PM","Sewing Basics: Bowl Cozy","Class","Classes","Sewing Basics: Bowl Cozy","$45","8","$360","Planned","Mon–Fri: Mon Dec 21 6–8 · Wed–Sun: Sun Dec 20 1–3",""
"Tue Dec 22","Tue","10:00 AM","1:00 PM","Winter Break Make Day (ages 8–14)","Class","Classes","Winter Break Make Days","$50","10","$500","Planned","Wed–Sun: cut",""
"Tue Dec 22","Tue","6:00 PM","8:30 PM","Queer Craft Night · holiday hang","Club","Members","","","","","Planned","Wed–Sun: volunteer host",""
"Wed Dec 23","Wed","10:00 AM","1:00 PM","Winter Break Make Day (ages 8–14)","Class","Classes","Winter Break Make Days","$50","10","$500","Planned","",""
"Wed Dec 23","Wed","1:00 PM","5:00 PM","Open shop","Open shop","Members","","","","","Planned","",""
"Thu Dec 24","Thu","","","Christmas Eve — closed","Closed","","","","","","Planned","",""
"Fri Dec 25","Fri","","","Closed","Closed","","","","","","Planned","",""
"Sat Dec 26","Sat","12:00 PM","4:00 PM","Gift-card redemption open shop","Open shop","Members","Gift-Card Redemption Open Shop","-","15","-","Planned","Mon–Fri: Mon Dec 28 1–5",""
"Tue Dec 29","Tue","10:00 AM","1:00 PM","Winter Break Make Day (ages 8–14)","Class","Classes","Winter Break Make Days","$50","10","$500","Planned","Wed–Sun: Sat Dec 26 10–1",""
"Wed Dec 30","Wed","10:00 AM","1:00 PM","Winter Break Make Day (ages 8–14)","Class","Classes","Winter Break Make Days","$50","10","$500","Planned","",""
"Wed Dec 30","Wed","1:00 PM","5:00 PM","Open shop","Open shop","Members","","","","","Planned","",""
"Thu Dec 31","Thu","","","New Year's Eve — closed","Closed","","","","","","Planned","",""
